as_of,ticker
2004-08-01,XLNX
2004-09-01,ACIA
2004-09-01,ALTR
2004-09-01,AMAT
2004-09-01,AMD
2004-09-01,AMKR
2004-09-01,ANET
2004-09-01,ARM
2004-09-01,ASML
2004-09-01,AVGO
2004-09-01,CAVM
2004-09-01,CONE
2004-09-01,COR
2004-09-01,CRM
2004-09-01,CSCO
2004-09-01,CY
2004-09-01,DFT
2004-09-01,DLR
2004-09-01,EMC
2004-09-01,EQIX
2004-09-01,ETN
2004-09-01,FNSR
2004-09-01,GEV
2004-09-01,INPHI
2004-09-01,INTC
2004-09-01,KLAC
2004-09-01,LRCX
2004-09-01,MLNX
2004-09-01,MRVL
2004-09-01,MSFT
2004-09-01,MU
2004-09-01,NOW
2004-09-01,NTAP
2004-09-01,NVDA
2004-09-01,OCLR
2004-09-01,ORCL
2004-09-01,PSTG
2004-09-01,QCOM
2004-09-01,QTS
2004-09-01,SNDK
2004-09-01,STX
2004-09-01,TSM
2004-09-01,VRT
2004-09-01,WDC
2004-09-01,XLNX
2004-10-01,ACIA
2004-10-01,ALTR
2004-10-01,AMAT
2004-10-01,AMD
2004-10-01,AMKR
2004-10-01,ANET
2004-10-01,ARM
2004-10-01,ASML
2004-10-01,AVGO
2004-10-01,CAVM
2004-10-01,CONE
2004-10-01,COR
2004-10-01,CRM
2004-10-01,CSCO
2004-10-01,CY
2004-10-01,DFT
2004-10-01,DLR
2004-10-01,EMC
2004-10-01,EQIX
2004-10-01,ETN
2004-10-01,FNSR
2004-10-01,GEV
2004-10-01,INPHI
2004-10-01,INTC
2004-10-01,KLAC
2004-10-01,LRCX
2004-10-01,MLNX
2004-10-01,MRVL
2004-10-01,MSFT
2004-10-01,MU
2004-10-01,NOW
2004-10-01,NTAP
2004-10-01,NVDA
2004-10-01,OCLR
2004-10-01,ORCL
2004-10-01,PSTG
2004-10-01,QCOM
2004-10-01,QTS
2004-10-01,SNDK
2004-10-01,STX
2004-10-01,TSM
2004-10-01,VRT
2004-10-01,WDC
2004-10-01,XLNX
2004-11-01,ACIA
2004-11-01,ALTR
2004-11-01,AMAT
2004-11-01,AMD
2004-11-01,AMKR
2004-11-01,ANET
2004-11-01,ARM
2004-11-01,ASML
2004-11-01,AVGO
2004-11-01,CAVM
2004-11-01,CONE
2004-11-01,COR
2004-11-01,CRM
2004-11-01,CSCO
2004-11-01,CY
2004-11-01,DFT
2004-11-01,DLR
2004-11-01,EMC
2004-11-01,EQIX
2004-11-01,ETN
2004-11-01,FNSR
2004-11-01,GEV
2004-11-01,INPHI
2004-11-01,INTC
2004-11-01,KLAC
2004-11-01,LRCX
2004-11-01,MLNX
2004-11-01,MRVL
2004-11-01,MSFT
2004-11-01,MU
2004-11-01,NOW
2004-11-01,NTAP
2004-11-01,NVDA
2004-11-01,OCLR
2004-11-01,ORCL
2004-11-01,PSTG
2004-11-01,QCOM
2004-11-01,QTS
2004-11-01,SNDK
2004-11-01,STX
2004-11-01,TSM
2004-11-01,VRT
2004-11-01,WDC
2004-11-01,XLNX
2004-12-01,ACIA
2004-12-01,ALTR
2004-12-01,AMAT
2004-12-01,AMD
2004-12-01,AMKR
2004-12-01,ANET
2004-12-01,ARM
2004-12-01,ASML
2004-12-01,AVGO
2004-12-01,CAVM
2004-12-01,CONE
2004-12-01,COR
2004-12-01,CRM
2004-12-01,CSCO
2004-12-01,CY
2004-12-01,DFT
2004-12-01,DLR
2004-12-01,EMC
2004-12-01,EQIX
2004-12-01,ETN
2004-12-01,FNSR
2004-12-01,GEV
2004-12-01,INPHI
2004-12-01,INTC
2004-12-01,KLAC
2004-12-01,LRCX
2004-12-01,MLNX
2004-12-01,MRVL
2004-12-01,MSFT
2004-12-01,MU
2004-12-01,NOW
2004-12-01,NTAP
2004-12-01,NVDA
2004-12-01,OCLR
2004-12-01,ORCL
2004-12-01,PSTG
2004-12-01,QCOM
2004-12-01,QTS
2004-12-01,SNDK
2004-12-01,STX
2004-12-01,TSM
2004-12-01,VRT
2004-12-01,WDC
2004-12-01,XLNX
2005-01-01,ACIA
2005-01-01,ALTR
2005-01-01,AMAT
2005-01-01,AMD
2005-01-01,AMKR
2005-01-01,ANET
2005-01-01,ARM
2005-01-01,ASML
2005-01-01,AVGO
2005-01-01,CAVM
2005-01-01,CONE
2005-01-01,COR
2005-01-01,CRM
2005-01-01,CSCO
2005-01-01,CY
2005-01-01,DFT
2005-01-01,DLR
2005-01-01,EMC
2005-01-01,EQIX
2005-01-01,ETN
2005-01-01,FNSR
2005-01-01,GEV
2005-01-01,INPHI
2005-01-01,INTC
2005-01-01,KLAC
2005-01-01,LRCX
2005-01-01,MLNX
2005-01-01,MRVL
2005-01-01,MSFT
2005-01-01,MU
2005-01-01,NOW
2005-01-01,NTAP
2005-01-01,NVDA
2005-01-01,OCLR
2005-01-01,ORCL
2005-01-01,PSTG
2005-01-01,QCOM
2005-01-01,QTS
2005-01-01,SNDK
2005-01-01,STX
2005-01-01,TSM
2005-01-01,VRT
2005-01-01,WDC
2005-01-01,XLNX
2005-02-01,ACIA
2005-02-01,ALTR
2005-02-01,AMAT
2005-02-01,AMD
2005-02-01,AMKR
2005-02-01,ANET
2005-02-01,ARM
2005-02-01,ASML
2005-02-01,AVGO
2005-02-01,CAVM
2005-02-01,CONE
2005-02-01,COR
2005-02-01,CRM
2005-02-01,CSCO
2005-02-01,CY
2005-02-01,DFT
2005-02-01,DLR
2005-02-01,EMC
2005-02-01,EQIX
2005-02-01,ETN
2005-02-01,FNSR
2005-02-01,GEV
2005-02-01,INPHI
2005-02-01,INTC
2005-02-01,KLAC
2005-02-01,LRCX
2005-02-01,MLNX
2005-02-01,MRVL
2005-02-01,MSFT
2005-02-01,MU
2005-02-01,NOW
2005-02-01,NTAP
2005-02-01,NVDA
2005-02-01,OCLR
2005-02-01,ORCL
2005-02-01,PSTG
2005-02-01,QCOM
2005-02-01,QTS
2005-02-01,SNDK
2005-02-01,STX
2005-02-01,TSM
2005-02-01,VRT
2005-02-01,WDC
2005-02-01,XLNX
2005-03-01,ACIA
2005-03-01,ALTR
2005-03-01,AMAT
2005-03-01,AMD
2005-03-01,AMKR
2005-03-01,ANET
2005-03-01,ARM
2005-03-01,ASML
2005-03-01,AVGO
2005-03-01,CAVM
2005-03-01,CONE
2005-03-01,COR
2005-03-01,CRM
2005-03-01,CSCO
2005-03-01,CY
2005-03-01,DFT
2005-03-01,DLR
2005-03-01,EMC
2005-03-01,EQIX
2005-03-01,ETN
2005-03-01,FNSR
2005-03-01,GEV
2005-03-01,INPHI
2005-03-01,INTC
2005-03-01,KLAC
2005-03-01,LRCX
2005-03-01,MLNX
2005-03-01,MRVL
2005-03-01,MSFT
2005-03-01,MU
2005-03-01,NOW
2005-03-01,NTAP
