as_of,ticker
2020-12-01,ORLY
2020-12-01,PAYX
2020-12-01,PCAR
2020-12-01,PDD
2020-12-01,PEP
2020-12-01,PYPL
2020-12-01,QCOM
2020-12-01,REGN
2020-12-01,ROST
2020-12-01,SBUX
2020-12-01,SGEN
2020-12-01,SIRI
2020-12-01,SNPS
2020-12-01,SPLK
2020-12-01,SWKS
2020-12-01,TCOM
2020-12-01,TMUS
2020-12-01,TSLA
2020-12-01,TTWO
2020-12-01,TXN
2020-12-01,ULTA
2020-12-01,VRSK
2020-12-01,VRSN
2020-12-01,VRTX
2020-12-01,WBA
2020-12-01,WDAY
2020-12-01,XEL
2020-12-01,XLNX
2020-12-01,ZM
2021-01-01,AAPL
2021-01-01,ADBE
2021-01-01,ADI
2021-01-01,ADP
2021-01-01,ADSK
2021-01-01,AEP
2021-01-01,ALGN
2021-01-01,ALXN
2021-01-01,AMAT
2021-01-01,AMD
2021-01-01,AMGN
2021-01-01,AMZN
2021-01-01,ANSS
2021-01-01,ASML
2021-01-01,ATVI
2021-01-01,AVGO
2021-01-01,BIDU
2021-01-01,BIIB
2021-01-01,BKNG
2021-01-01,CDNS
2021-01-01,CDW
2021-01-01,CERN
2021-01-01,CHKP
2021-01-01,CHTR
2021-01-01,CMCSA
2021-01-01,COST
2021-01-01,CPRT
2021-01-01,CSCO
2021-01-01,CSX
2021-01-01,CTAS
2021-01-01,CTSH
2021-01-01,DLTR
2021-01-01,DOCU
2021-01-01,DXCM
2021-01-01,EA
2021-01-01,EBAY
2021-01-01,EXC
2021-01-01,FAST
2021-01-01,FB
2021-01-01,FISV
2021-01-01,FOX
2021-01-01,FOXA
2021-01-01,GILD
2021-01-01,GOOG
2021-01-01,GOOGL
2021-01-01,IDXX
2021-01-01,ILMN
2021-01-01,INCY
2021-01-01,INTC
2021-01-01,INTU
2021-01-01,ISRG
2021-01-01,JD
2021-01-01,KDP
2021-01-01,KHC
2021-01-01,KLAC
2021-01-01,LRCX
2021-01-01,LULU
2021-01-01,MAR
2021-01-01,MCHP
2021-01-01,MDLZ
2021-01-01,MELI
2021-01-01,MNST
2021-01-01,MRNA
2021-01-01,MRVL
2021-01-01,MSFT
2021-01-01,MTCH
2021-01-01,MU
2021-01-01,MXIM
2021-01-01,NFLX
2021-01-01,NTES
2021-01-01,NVDA
2021-01-01,NXPI
2021-01-01,OKTA
2021-01-01,ORLY
2021-01-01,PAYX
2021-01-01,PCAR
2021-01-01,PDD
2021-01-01,PEP
2021-01-01,PTON
2021-01-01,PYPL
2021-01-01,QCOM
2021-01-01,REGN
2021-01-01,ROST
2021-01-01,SBUX
2021-01-01,SGEN
2021-01-01,SIRI
2021-01-01,SNPS
2021-01-01,SPLK
2021-01-01,SWKS
2021-01-01,TCOM
2021-01-01,TEAM
2021-01-01,TMUS
2021-01-01,TSLA
2021-01-01,TXN
2021-01-01,VRSK
2021-01-01,VRSN
2021-01-01,VRTX
2021-01-01,WBA
2021-01-01,WDAY
2021-01-01,XEL
2021-01-01,XLNX
2021-01-01,ZM
2021-02-01,AAPL
2021-02-01,ADBE
2021-02-01,ADI
2021-02-01,ADP
2021-02-01,ADSK
2021-02-01,AEP
2021-02-01,ALGN
2021-02-01,ALXN
2021-02-01,AMAT
2021-02-01,AMD
2021-02-01,AMGN
2021-02-01,AMZN
2021-02-01,ANSS
2021-02-01,ASML
2021-02-01,ATVI
2021-02-01,AVGO
2021-02-01,BIDU
2021-02-01,BIIB
2021-02-01,BKNG
2021-02-01,CDNS
2021-02-01,CDW
2021-02-01,CERN
2021-02-01,CHKP
2021-02-01,CHTR
2021-02-01,CMCSA
2021-02-01,COST
2021-02-01,CPRT
2021-02-01,CSCO
2021-02-01,CSX
2021-02-01,CTAS
2021-02-01,CTSH
2021-02-01,DLTR
2021-02-01,DOCU
2021-02-01,DXCM
2021-02-01,EA
2021-02-01,EBAY
2021-02-01,EXC
2021-02-01,FAST
2021-02-01,FB
2021-02-01,FISV
2021-02-01,FOX
2021-02-01,FOXA
2021-02-01,GILD
2021-02-01,GOOG
2021-02-01,GOOGL
2021-02-01,IDXX
2021-02-01,ILMN
2021-02-01,INCY
2021-02-01,INTC
2021-02-01,INTU
2021-02-01,ISRG
2021-02-01,JD
2021-02-01,KDP
2021-02-01,KHC
2021-02-01,KLAC
2021-02-01,LRCX
2021-02-01,LULU
2021-02-01,MAR
2021-02-01,MCHP
2021-02-01,MDLZ
2021-02-01,MELI
2021-02-01,MNST
2021-02-01,MRNA
2021-02-01,MRVL
2021-02-01,MSFT
2021-02-01,MTCH
2021-02-01,MU
2021-02-01,MXIM
2021-02-01,NFLX
2021-02-01,NTES
2021-02-01,NVDA
2021-02-01,NXPI
2021-02-01,OKTA
2021-02-01,ORLY
2021-02-01,PAYX
2021-02-01,PCAR
2021-02-01,PDD
2021-02-01,PEP
2021-02-01,PTON
2021-02-01,PYPL
2021-02-01,QCOM
2021-02-01,REGN
2021-02-01,ROST
2021-02-01,SBUX
2021-02-01,SGEN
2021-02-01,SIRI
2021-02-01,SNPS
2021-02-01,SPLK
2021-02-01,SWKS
2021-02-01,TCOM
2021-02-01,TEAM
2021-02-01,TMUS
2021-02-01,TSLA
2021-02-01,TXN
2021-02-01,VRSK
2021-02-01,VRSN
2021-02-01,VRTX
2021-02-01,WBA
2021-02-01,WDAY
2021-02-01,XEL
2021-02-01,XLNX
2021-02-01,ZM
2021-03-01,AAPL
2021-03-01,ADBE
2021-03-01,ADI
2021-03-01,ADP
2021-03-01,ADSK
2021-03-01,AEP
2021-03-01,ALGN
2021-03-01,ALXN
2021-03-01,AMAT
2021-03-01,AMD
2021-03-01,AMGN
2021-03-01,AMZN
2021-03-01,ANSS
2021-03-01,ASML
2021-03-01,ATVI
2021-03-01,AVGO
2021-03-01,BIDU
2021-03-01,BIIB
2021-03-01,BKNG
2021-03-01,CDNS
2021-03-01,CDW
2021-03-01,CERN
2021-03-01,CHKP
2021-03-01,CHTR
2021-03-01,CMCSA
2021-03-01,COST
2021-03-01,CPRT
2021-03-01,CSCO
2021-03-01,CSX
2021-03-01,CTAS
2021-03-01,CTSH
2021-03-01,DLTR
2021-03-01,DOCU
2021-03-01,DXCM
2021-03-01,EA
2021-03-01,EBAY
2021-03-01,EXC
2021-03-01,FAST
2021-03-01,FB
2021-03-01,FISV
2021-03-01,FOX
2021-03-01,FOXA
2021-03-01,GILD
2021-03-01,GOOG
2021-03-01,GOOGL
2021-03-01,IDXX
2021-03-01,ILMN
2021-03-01,INCY
2021-03-01,INTC
2021-03-01,INTU
2021-03-01,ISRG
2021-03-01,JD
2021-03-01,KDP
2021-03-01,KHC
2021-03-01,KLAC
2021-03-01,LRCX
2021-03-01,LULU
2021-03-01,MAR
2021-03-01,MCHP
2021-03-01,MDLZ
2021-03-01,MELI
2021-03-01,MNST
2021-03-01,MRNA
2021-03-01,MRVL
2021-03-01,MSFT
2021-03-01,MTCH
2021-03-01,MU
2021-03-01,MXIM
